TIMESTAMP,TECHNOLOGIES,availabilityFactor
3824,Fossil Hard coal,0.36436436436436437
3824,Fossil Oil,0.5129606277147261
3824,Hydro Water Reservoir,0.9327157484154072
3824,Nuclear,0.7197370505306511
3825,Fossil Gas,0.8402387640449438
3825,Fossil Hard coal,0.36436436436436437
3825,Fossil Oil,0.5129606277147261
3825,Hydro Water Reservoir,0.9327157484154072
3825,Nuclear,0.7197370505306511
3826,Fossil Gas,0.8902153558052435
3826,Fossil Hard coal,0.36436436436436437
3826,Fossil Oil,0.5129606277147261
3826,Hydro Water Reservoir,0.9327157484154072
3826,Nuclear,0.7197370505306511
3827,Fossil Gas,0.8902153558052435
3827,Fossil Hard coal,0.36436436436436437
3827,Fossil Oil,0.5129606277147261
3827,Hydro Water Reservoir,0.9327157484154072
3827,Nuclear,0.7197370505306511
3828,Fossil Gas,0.8902153558052435
3828,Fossil Hard coal,0.36436436436436437
3828,Fossil Oil,0.5129606277147261
3828,Hydro Water Reservoir,0.9327157484154072
3828,Nuclear,0.7197370505306511
3829,Fossil Gas,0.8902153558052435
3829,Fossil Hard coal,0.36436436436436437
3829,Fossil Oil,0.5129606277147261
3829,Hydro Water Reservoir,0.9327157484154072
3829,Nuclear,0.7197370505306511
3830,Fossil Gas,0.8902153558052435
3830,Fossil Hard coal,0.36436436436436437
3830,Fossil Oil,0.5129606277147261
3830,Hydro Water Reservoir,0.9327157484154072
3830,Nuclear,0.720608268651988
3831,Fossil Gas,0.8902153558052435
3831,Fossil Hard coal,0.36436436436436437
3831,Fossil Oil,0.5129606277147261
3831,Hydro Water Reservoir,0.9327157484154072
3831,Nuclear,0.7226675114842389
3832,Fossil Gas,0.8902153558052435
3832,Fossil Hard coal,0.36436436436436437
3832,Fossil Oil,0.5129606277147261
3832,Hydro Water Reservoir,0.9327157484154072
3832,Nuclear,0.7226675114842389
3833,Fossil Gas,0.8902153558052435
3833,Fossil Hard coal,0.36436436436436437
3833,Fossil Oil,0.5129606277147261
3833,Hydro Water Reservoir,0.9327157484154072
3833,Nuclear,0.7226675114842389
3834,Fossil Gas,0.8902153558052435
3834,Fossil Hard coal,0.36436436436436437
3834,Fossil Oil,0.5129606277147261
3834,Hydro Water Reservoir,0.9327157484154072
3834,Nuclear,0.7226675114842389
3835,Fossil Gas,0.8902153558052435
3835,Fossil Hard coal,0.36436436436436437
3835,Fossil Oil,0.5129606277147261
3835,Hydro Water Reservoir,0.9327157484154072
3835,Nuclear,0.7226675114842389
3836,Fossil Gas,0.8902153558052435
3836,Fossil Hard coal,0.36436436436436437
3836,Fossil Oil,0.5129606277147261
3836,Hydro Water Reservoir,0.9327157484154072
3836,Nuclear,0.7226675114842389
3837,Fossil Gas,0.8902153558052435
3837,Fossil Hard coal,0.36436436436436437
3837,Fossil Oil,0.5129606277147261
3837,Hydro Water Reservoir,0.9327157484154072
3837,Nuclear,0.7191826389988911
3838,Fossil Gas,0.8902153558052435
3838,Fossil Hard coal,0.36436436436436437
3838,Fossil Oil,0.5129606277147261
3838,Hydro Water Reservoir,0.9327157484154072
3838,Nuclear,0.7191826389988911
3839,Fossil Gas,0.8902153558052435
3839,Fossil Hard coal,0.36436436436436437
3839,Fossil Oil,0.5129606277147261
3839,Hydro Water Reservoir,0.9327157484154072
3839,Nuclear,0.7191826389988911
3840,Fossil Gas,0.8902153558052435
3840,Fossil Hard coal,0.36436436436436437
3840,Fossil Oil,0.5129606277147261
3840,Hydro Water Reservoir,0.9327157484154072
3840,Nuclear,0.7191826389988911
3841,Fossil Gas,0.8902153558052435
3841,Fossil Hard coal,0.36436436436436437
3841,Fossil Oil,0.5129606277147261
3841,Hydro Water Reservoir,0.9327157484154072
3841,Nuclear,0.7191826389988911
3842,Fossil Gas,0.8902153558052435
3842,Fossil Hard coal,0.36436436436436437
3842,Fossil Oil,0.5129606277147261
3842,Hydro Water Reservoir,0.9327157484154072
3842,Nuclear,0.7191826389988911
3843,Fossil Gas,0.8902153558052435
3843,Fossil Hard coal,0.36436436436436437
3843,Fossil Oil,0.5129606277147261
3843,Hydro Water Reservoir,0.9327157484154072
3843,Nuclear,0.7191826389988911
3844,Fossil Gas,0.8902153558052435
3844,Fossil Hard coal,0.36436436436436437
3844,Fossil Oil,0.5129606277147261
3844,Hydro Water Reservoir,0.9327157484154072
3844,Nuclear,0.7191826389988911
3845,Fossil Gas,0.8902153558052435
3845,Fossil Hard coal,0.36436436436436437
3845,Fossil Oil,0.5129606277147261
3845,Hydro Water Reservoir,0.9327157484154072
3845,Nuclear,0.7126089022651672
3846,Fossil Gas,0.8902153558052435
3846,Fossil Hard coal,0.36436436436436437
3846,Fossil Oil,0.5129606277147261
3846,Hydro Water Reservoir,0.9327157484154072
3846,Nuclear,0.7126089022651672
3847,Fossil Gas,0.8902153558052435
3847,Fossil Hard coal,0.36436436436436437
3847,Fossil Oil,0.5129606277147261
3847,Hydro Water Reservoir,0.9327157484154072
3847,Nuclear,0.7126089022651672
3848,Fossil Gas,0.8902153558052435
3848,Fossil Hard coal,0.36436436436436437
3848,Fossil Oil,0.5129606277147261
3848,Hydro Water Reservoir,0.9327157484154072
3848,Nuclear,0.7114683985426897
3849,Fossil Gas,0.8902153558052435
3849,Fossil Hard coal,0.36436436436436437
3849,Fossil Oil,0.5129606277147261
3849,Hydro Water Reservoir,0.9327157484154072
3849,Nuclear,0.7114683985426897
3850,Fossil Gas,0.8902153558052435
3850,Fossil Hard coal,0.36436436436436437
3850,Fossil Oil,0.5129606277147261
3850,Hydro Water Reservoir,0.9327157484154072
3850,Nuclear,0.7114683985426897
3851,Fossil Gas,0.8902153558052435
3851,Fossil Hard coal,0.36436436436436437
3851,Fossil Oil,0.5129606277147261
3851,Hydro Water Reservoir,0.9327157484154072
3851,Nuclear,0.6975289086012989
3852,Fossil Gas,0.8902153558052435
3852,Fossil Hard coal,0.36436436436436437
3852,Fossil Oil,0.5129606277147261
3852,Hydro Water Reservoir,0.9327157484154072
3852,Nuclear,0.6975289086012989
3853,Fossil Gas,0.8902153558052435
3853,Fossil Hard coal,0.36436436436436437
3853,Fossil Oil,0.5129606277147261
3853,Hydro Water Reservoir,0.9327157484154072
3853,Nuclear,0.6975289086012989
3854,Fossil Gas,0.8902153558052435
3854,Fossil Hard coal,0.36436436436436437
3854,Fossil Oil,0.5129606277147261
